사상자연령층,사상자성별,사망자수,중상자수,경상자수,부상신고자수
12세이하,남,8,700,5021,849
12세이하,여,4,405,3830,514
13-20세,남,52,1467,4937,1098
13-20세,여,10,700,3604,506
21-30세,남,157,3734,21753,2237
21-30세,여,24,1815,13036,1136
31-40세,남,154,4596,25476,2133
31-40세,여,20,1890,14577,986
41-50세,남,188,5264,23900,1993
41-50세,여,31,2414,14597,1025
51-60세,남,283,5519,21179,1928
51-60세,여,69,3847,14649,1049
61-64세,남,165,2385,8348,817
61-64세,여,57,1951,5560,426
65세이상,남,803,7413,16304,1864
65세이상,여,496,7446,10484,1053
65세이상,기타/불명,0,0,0,0
불명,남,0,3,6,18
불명,여,0,4,10,26
불명,기타/불명,0,0,0,0
