구분,총아동발생수,귀가및연고자인도,보호대상아동의 발생원인,유기,미혼부모_혼외자,미아,비행_가출_부랑,학대,부모빈곤_실직,부모사망,부모질병,부모이혼등,성별,남,여,장애여부,비장애,장애,양육시설,일시보호시설,장애아동시설,공동생활가정,기타시설,소년소녀가정,입양,보호출산,가정위탁,입양전위탁
인천시,186,97,89,0,6,13,5,25,5,17,6,12,89,42,47,89,75,14,23,0,0,4,0,0,5,7,41,9
중구,50,35,15,0,1,13,0,1,0,0,0,0,15,8,7,15,15,0,1,0,0,0,0,0,1,7,0,6
동구,3,0,3,0,0,0,0,1,0,1,0,1,3,1,2,3,3,,2,0,0,0,0,0,0,0,1,0
미추홀구,25,11,14,0,0,0,0,10,1,1,1,1,14,7,7,14,7,7,10,0,0,0,0,0,2,0,2,0
연수구,5,0,5,0,0,0,0,1,0,2,0,2,5,3,2,5,4,1,0,0,0,1,0,0,0,0,4,0
남동구,22,11,11,0,1,0,0,1,2,6,1,0,11,5,6,11,10,1,1,0,0,1,0,0,2,0,6,1
부평구,27,19,8,0,0,0,4,1,1,0,0,2,8,3,5,8,7,1,1,0,0,0,0,0,0,0,7,0
계양구,20,16,4,0,3,0,0,0,0,0,0,1,4,2,2,4,4,0,0,0,0,0,0,0,0,0,2,2
서구,24,0,24,0,1,0,1,8,1,4,4,5,24,10,14,24,23,1,8,0,0,2,0,0,0,0,14,0
강화군,8,5,3,0,0,0,0,0,0,3,0,0,3,3,0,3,0,3,0,0,0,0,0,0,0,0,3,0
옹진군,2,0,2,0,0,0,0,2,0,0,0,0,2,0,2,2,2,0,0,0,0,0,0,0,0,0,2,0
