도로종류,기상상태,사고건수,사망자수,중상자수,경상자수,부상신고자수
일반국도,맑음,19426,397,5566,21686,2303
일반국도,흐림,988,28,304,1037,114
일반국도,비,1386,46,447,1591,128
일반국도,안개,25,5,9,23,0
일반국도,눈,160,4,42,192,22
일반국도,기타/불명,322,5,90,349,33
지방도,맑음,10061,204,3181,10597,1034
지방도,흐림,684,27,215,693,88
지방도,비,822,15,283,821,100
지방도,안개,18,0,7,18,1
지방도,눈,102,2,32,118,13
지방도,기타/불명,225,2,61,219,32
특별광역시도,맑음,68972,497,16097,71348,6261
특별광역시도,흐림,2294,33,580,2387,189
특별광역시도,비,5044,38,1271,5217,417
특별광역시도,안개,4,1,1,1,1
특별광역시도,눈,309,1,61,352,18
특별광역시도,기타/불명,937,7,228,942,86
시도,맑음,54701,578,14099,57118,5544
시도,흐림,2066,49,610,2081,185
시도,비,3977,50,1164,4155,375
시도,안개,38,3,15,30,2
시도,눈,391,1,64,436,38
시도,기타/불명,464,8,117,423,77
군도,맑음,6556,208,2521,5994,486
군도,흐림,319,6,157,272,16
군도,비,470,18,177,439,39
군도,안개,17,0,9,9,0
군도,눈,37,2,18,37,4
군도,기타/불명,38,0,16,38,2
고속국도,맑음,4631,154,1390,7618,757
고속국도,흐림,167,15,55,280,24
고속국도,비,415,15,204,668,64
고속국도,안개,8,1,4,6,1
고속국도,눈,65,2,28,103,16
고속국도,기타/불명,25,0,4,39,3
기타,맑음,8747,79,2089,8456,1015
기타,흐림,345,7,87,340,46
기타,비,489,9,123,488,40
기타,안개,5,0,2,4,0
기타,눈,67,2,10,67,14
기타,기타/불명,532,2,115,579,70
